#
# contig_name	read_name
#
minuta_c9	GO1G54I02FQQNG
minuta_c9	GO1G54I02IBHWY
minuta_c9	GO1G54I02HEL8K
minuta_c10	GO1G54I02IHSR4
minuta_c10	GO1G54I02HGE5E
minuta_c10	GO1G54I02HBC6K
minuta_c10	GO1G54I02FVKRA
minuta_c10	GO1G54I02H5WK9
minuta_c10	GO1G54I02J0MUJ
minuta_c10	GO1G54I02FSJOE
minuta_c11	GO1G54I02GNGCL
minuta_c11	GO1G54I02JT5UV
minuta_c11	GO1G54I02G2OWI
minuta_c11	GO1G54I02IKF2G
minuta_c11	GO1G54I02GJLID
minuta_c11	GO1G54I02IUTX0
minuta_c11	GO1G54I02HB4ZB
minuta_c11	GO1G54I02JM8I0
minuta_c11	GO1G54I02HMWZT
minuta_c11	GO1G54I02GJSJZ
minuta_c11	GO1G54I02ICZXX
minuta_c11	GO1G54I02HR2WP
minuta_c11	GO1G54I02FWFMW
minuta_c11	GO1G54I02JZ3N9
minuta_c11	GO1G54I02FFYCO
minuta_c11	GO1G54I02F7AEB
minuta_c11	GO1G54I02HIKC0
minuta_c11	GO1G54I02GQXWO
minuta_c11	GO1G54I02HADXA
minuta_c11	GO1G54I02H5DXL
minuta_c11	GO1G54I02JQKMP
minuta_c11	GO1G54I02FNPXR
minuta_c11	GO1G54I02JHBJW
minuta_c11	GO1G54I02GM3AI
minuta_c11	GO1G54I02GZHX0
minuta_c11	GO1G54I02JO0GB
minuta_c11	GO1G54I02F4ILU
minuta_c11	GO1G54I02F225L
minuta_c11	GO1G54I02J2D94
minuta_c11	GO1G54I02HGM2F
minuta_c11	GO1G54I02GP29C
minuta_c11	GO1G54I02I83XX
minuta_c11	GO1G54I02FMQ5I
minuta_c11	GO1G54I02F8ROP
minuta_c11	GO1G54I02GO6GJ
minuta_c11	GO1G54I02IZ5LM
minuta_c11	GO1G54I02HHMK7
minuta_c11	GO1G54I02HFK9I
minuta_c11	GO1G54I02G0PZ2
minuta_c11	GO1G54I02FM8ED
minuta_c11	GO1G54I02IINJ8
minuta_c11	GO1G54I02GAAFQ
minuta_c11	GO1G54I02I3A4N
minuta_c11	GO1G54I02HXJZU
minuta_c11	GO1G54I02GHVYB
minuta_c11	GO1G54I02I9MI8
minuta_c11	GO1G54I02GWOAP
minuta_c11	GO1G54I02FG1L1
minuta_c12	GO1G54I02J1IEG
minuta_c12	GO1G54I02G0QTA
minuta_c12	GO1G54I02IU28P
minuta_c12	GO1G54I02GMREL
minuta_c12	GO1G54I02F8H4S
minuta_c12	GO1G54I02GF40E
minuta_c12	GO1G54I02HFNCL
